PeakID (cmd=annotatePeaks.pl PPARg_exPPARg_RIPA_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr18-1	chr18	50128809	50128982	+	106.6	0.000	intron (NM_008292, intron 1 of 23)	(TG)n|Simple_repeat|Simple_repeat	694	NM_008292	15488	Mm.277857	NM_008292	ENSMUSG00000024507	Hsd17b4	17-beta-HSD|17[b]-HSD|DBP|MFE-2|MFP2|MPF-2|Mfp-2|perMFE-2	hydroxysteroid (17-beta) dehydrogenase 4	protein-coding
chr13-1	chr13	52825156	52825329	+	99.7	0.000	Intergenic	Intergenic	-68037	NR_027893	105404	Mm.184173	NR_027893		BB123696	-	expressed sequence BB123696	ncRNA
chr9-6	chr9	123768571	123768744	+	98.7	0.000	intron (NM_009913, intron 1 of 2)	intron (NM_009913, intron 1 of 2)	1446	NM_001166625	12769	Mm.440604	NM_009913		Ccr9	A130091K22Rik|Cmkbr10|GPR-9-6	chemokine (C-C motif) receptor 9	protein-coding
chr16-1	chr16	10702549	10702722	+	92.9	0.000	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	82901	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
chr19-1	chr19	32546011	32546184	+	90.9	0.000	Intergenic	L1MB4|LINE|L1	-49618	NM_001201470	23972	Mm.203916	NM_011864	ENSMUSG00000024899	Papss2	1810018P12Rik|AI159688|AtpsU2|Atpsk2|Sk2|bm	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
chr12-2	chr12	51844958	51845131	+	82.1	0.000	Intergenic	Intergenic	-15508	NM_144788	207304	Mm.249391	NM_144788	ENSMUSG00000035247	Hectd1	A630086P08Rik|AI844876|b2b327Clo|opm	HECT domain containing 1	protein-coding
chr2-11	chr2	3964463	3964636	+	80.2	0.000	Intergenic	Intergenic	176592	NR_040500	73489	Mm.488103	NR_040500	ENSMUSG00000084859	1700080N15Rik	4933408D14Rik	RIKEN cDNA 1700080N15 gene	ncRNA
chr1-1	chr1	132145385	132145558	+	78.2	0.000	Intergenic	Intergenic	-5786	NM_008795	18557	Mm.28130	NM_008795		Cdk18	AA682070|Ctk18|Pctk3	cyclin-dependent kinase 18	protein-coding
chr11-1	chr11	70747994	70748167	+	76.2	0.000	Intergenic	LTR88b|LTR|Gypsy?	-16367	NM_177565	193043	Mm.40966	NM_177565	ENSMUSG00000043602	Zfp3	AI854635|B230309J24|Fnp-1|Zfp-3	zinc finger protein 3	protein-coding
chr2-6	chr2	58130152	58130325	+	76.2	0.000	3' UTR (NM_139200, exon 8 of 8)	3' UTR (NM_139200, exon 8 of 8)	29884	NM_139200	227929	Mm.273905	NM_139200	ENSMUSG00000026832	Cytip	A130053M09Rik|AI462064|C80816|Cbp|Cybr|Pscdbp	cytohesin 1 interacting protein	protein-coding
chr3-1	chr3	65886113	65886286	+	72.3	0.000	Intergenic	MER46C|DNA|TcMar-Tigger	72026	NM_019937	56706	Mm.175612	NM_019937	ENSMUSG00000027829	Ccnl1	2610030E23Rik|AU018493|Ccnl|ania-6a	cyclin L1	protein-coding
chr6-2	chr6	5509764	5509937	+	71.4	0.000	Intergenic	Intergenic	-13572	NM_013743	27273	Mm.235547	NM_013743	ENSMUSG00000019577	Pdk4	AV005916	pyruvate dehydrogenase kinase, isoenzyme 4	protein-coding
chr15-4	chr15	8278787	8278960	+	70.4	0.000	Intergenic	MMVL30-int|LTR|ERV1	109767	NM_001162906	73692	Mm.164436	NM_001162906	ENSMUSG00000039801	2410089E03Rik	4732468D17Rik|Hug|Jbts17|b2b012Clo	RIKEN cDNA 2410089E03 gene	protein-coding
